id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
293,CH_E_Demand,FR_E_Demand,2050,1,1.0,1.0,17,20,-6.5
294,CH_E_Demand,FR_E_Demand,2050,1,1.0,1.0,21,24,-0.36346898540644057
295,CH_E_ENS,CH_E_Demand,2050,1,1.0,1.0,1,4,0.0
296,CH_E_ENS,CH_E_Demand,2050,1,1.0,1.0,5,8,0.0
297,CH_E_ENS,CH_E_Demand,2050,1,1.0,1.0,9,12,0.0
298,CH_E_ENS,CH_E_Demand,2050,1,1.0,1.0,13,16,0.0
299,CH_E_ENS,CH_E_Demand,2050,1,1.0,1.0,17,20,0.0
300,CH_E_ENS,CH_E_Demand,2050,1,1.0,1.0,21,24,0.0
301,CH_Hydro,CH_E_Demand,2050,1,1.0,1.0,1,4,8.405273781556836
302,CH_Hydro,CH_E_Demand,2050,1,1.0,1.0,5,8,8.405273781556836
303,CH_Hydro,CH_E_Demand,2050,1,1.0,1.0,9,12,8.405273781556836
304,CH_Hydro,CH_E_Demand,2050,1,1.0,1.0,13,16,8.405273781556836
305,CH_Hydro,CH_E_Demand,2050,1,1.0,1.0,17,20,8.405273781556836
306,CH_Hydro,CH_E_Demand,2050,1,1.0,1.0,21,24,8.405273781556836
307,CH_Nuclear,CH_E_Demand,2050,1,1.0,1.0,1,4,0.0
308,CH_Nuclear,CH_E_Demand,2050,1,1.0,1.0,5,8,0.0
309,CH_Nuclear,CH_E_Demand,2050,1,1.0,1.0,9,12,0.0
310,CH_Nuclear,CH_E_Demand,2050,1,1.0,1.0,13,16,0.0
311,CH_Nuclear,CH_E_Demand,2050,1,1.0,1.0,17,20,0.0
312,CH_Nuclear,CH_E_Demand,2050,1,1.0,1.0,21,24,0.0
313,CH_Pump_Hydro_Closed,CH_E_Demand,2050,1,1.0,1.0,1,4,2.17
314,CH_Pump_Hydro_Closed,CH_E_Demand,2050,1,1.0,1.0,5,8,0.0
315,CH_Pump_Hydro_Closed,CH_E_Demand,2050,1,1.0,1.0,9,12,0.0
